EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
23150000;1;01/03/2026;;1;1;;;;;;0;0;0;0.0;0.0;61.0706;51.6935;54.0317;71.8439;73.4468;;248.0966;47.0314;56.3997;65.5364;51.9842;57.7446;;51.9842;54.0317;50.2475;48.835;44.3958;64.7599;163.8011;157.9779;159.7141;165.5681;132.2519;142.2201;119.3429;;;76.6833;59.7034;;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0;0.0;1.0;1.0;0.0
23150000;1;01/02/2026;;1;1;;;;;;0;0;0;0.0;0.0;24.367;24.1191;33.3387;37.9324;31.0215;;;66.0036;40.846;29.3437;36.6755;36.3649;42.8545;43.365;37.1441;46.3204;45.9671;43.8787;44.2231;46.8531;55.0641;59.0987;60.9183;46.6751;43.5359;46.1436;;61.5283;;;;;;;;;0.0;0.0;;;;;;;;;;;;;;;;;;;;0.0;;0.0;0.0;0.0
23150000;1;01/01/2026;;1;1;;;;;;0;0;0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;26.9229;26.9229;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0
23150000;1;01/09/2025;;1;1;11.5767;9.9907;10.7013;8.0;2.0;1;1;1;0.0;0.0;10.453;9.9907;9.9907;9.9907;9.9907;9.9907;9.9907;11.5767;11.5767;11.4123;11.4123;11.2492;11.2492;11.0874;11.0874;11.0874;11.0874;10.6096;10.9268;10.6096;10.2976;10.2976;10.2976;10.2976;10.2976;10.2976;10.2976;10.9268;11.2492;11.4123;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
23150000;1;01/08/2025;;1;1;13.2921;10.2976;11.0432;14.0;16.0;2;2;2;0.0;0.0;11.9093;11.9093;11.9093;11.7423;11.5767;11.5767;11.5767;11.5767;11.4123;11.4123;11.4123;11.4123;11.4123;13.2921;13.2921;10.2976;10.2976;10.2976;10.2976;10.2976;10.2976;10.2976;10.2976;10.2976;10.2976;10.2976;10.2976;10.453;10.2976;10.2976;10.2976;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2.0;2.0
23150000;1;01/07/2025;;1;1;14.9483;12.2472;13.2588;1.0;25.0;1;1;1;0.0;0.0;14.9483;14.9483;14.199;14.199;14.015;14.015;14.015;14.015;13.8323;13.8323;13.6509;13.6509;13.6509;13.6509;13.2921;12.9386;12.5903;12.5903;12.5903;12.5903;12.5903;12.5903;12.5903;12.5903;12.2472;12.2472;12.5903;12.5903;12.5903;12.5903;12.5903;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23150000;1;01/06/2025;;1;1;;;;;;0;0;0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;15.7188;15.3309;15.3309;14.571;14.9483;14.9483;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
23150000;1;01/05/2025;;1;1;;;;;;0;0;0;0.0;0.0;71.7031;67.3882;52.3747;42.1046;42.1046;49.416;43.109;35.7453;30.2389;30.2389;30.2389;30.2389;30.2389;30.2389;29.145;27.0249;27.0249;27.0249;25.4935;25.4935;25.4935;24.9941;24.9941;24.9941;24.9941;24.9941;24.5003;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0
23150000;1;01/05/2025;;1;1;;;;;;0;0;0;0.0;0.0;72.1636;65.8478;50.2475;40.1883;40.1883;47.3891;41.1771;33.9324;28.524;28.524;28.524;28.524;28.524;28.524;27.4509;25.3725;25.3725;25.3725;23.8726;23.8726;23.8726;23.3838;23.3838;23.3838;23.3838;23.3838;22.9005;;;;;;;;;;1.0;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0;0.0
23150000;1;01/04/2025;;1;1;77.182;37.9048;57.4026;6.0;23.0;2;2;2;0.0;0.0;54.6572;54.6572;69.7537;66.5327;66.5327;77.182;77.182;77.182;67.8169;71.7031;63.5584;63.5584;66.5327;66.5327;65.4668;64.405;55.4302;51.0684;44.2977;39.8124;39.8124;39.8124;37.9048;46.5533;46.5533;46.5533;46.5533;45.1578;54.6572;54.6572;;;;;;;;;;;;;;;;2.0;;;2.0;2.0;;;;;;;;;;;;0.0
23150000;1;01/04/2025;;1;1;80.2899;36.0558;55.8542;6.0;23.0;2;2;2;0.0;0.0;51.9842;51.9842;69.3007;64.605;64.605;80.2899;80.2899;80.2899;66.4718;72.1636;60.31;60.31;64.605;64.605;63.0612;61.5283;52.5668;49.0174;42.3474;37.9324;37.9324;37.9324;36.0558;44.5689;44.5689;44.5689;44.5689;43.1945;51.9842;51.9842;;;;;;;;;;;;;;;;2.0;;;2.0;2.0;;;;;;;;;;;;0.0
