EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
22680000;1;01/12/2025;;1;1;281.3653;184.7098;227.8724;21.0;29.0;1.0;1.0;1.0;0.0;0.0;219.2019;230.0608;218.2226;205.8799;204.4337;217.2447;220.1825;252.2489;237.0534;230.0608;227.0836;235.049;241.0775;256.349;230.0608;222.1476;205.8799;257.3772;237.0534;246.1364;281.3653;252.2489;240.0695;230.0608;211.7139;198.6989;200.1252;193.0436;184.7098;232.0522;247.152;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/11/2025;;1;1;348.0158;113.4201;177.1366;22.0;1.0;1.0;1.0;1.0;0.0;0.0;113.4201;118.9011;126.786;123.3766;133.7404;145.7326;148.1912;155.687;149.428;150.6698;150.6698;150.6698;148.1912;138.4772;129.084;121.1288;120.0124;122.2501;122.2501;150.6698;230.0608;348.0158;278.1998;242.0867;244.109;266.6866;275.0452;251.227;242.0867;217.2447;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22680000;1;01/10/2025;;1;1;171.2184;100.7801;115.551;23.0;5.0;1.0;1.0;1.0;0.0;0.0;103.8719;102.8363;102.8363;101.8057;100.7801;100.7801;100.7801;100.7801;103.8719;104.9127;104.9127;123.3766;122.2501;120.0124;117.7948;116.6936;112.339;109.126;111.263;109.126;121.1288;148.1912;171.2184;145.7326;134.9171;125.6445;120.0124;114.5062;111.263;109.126;110.192;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/09/2025;;1;1;113.4201;104.9127;108.0454;24.0;18.0;1.0;1.0;1.0;0.0;0.0;111.263;111.263;111.263;111.263;110.192;109.126;108.0651;108.0651;107.0092;107.0092;107.0092;107.0092;107.0092;107.0092;107.0092;107.0092;105.9584;104.9127;104.9127;104.9127;104.9127;107.0092;108.0651;113.4201;113.4201;113.4201;107.0092;107.0092;104.9127;104.9127;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22680000;1;01/08/2025;;1;1;133.7404;111.263;119.5258;15.0;31.0;1.0;1.0;1.0;0.0;0.0;124.508;124.508;122.2501;122.2501;122.2501;121.1288;120.0124;120.0124;120.0124;120.0124;120.0124;120.0124;122.2501;127.9325;133.7404;127.9325;123.3766;120.0124;120.0124;117.7948;117.7948;115.5974;115.5974;114.5062;113.4201;113.4201;113.4201;113.4201;113.4201;113.4201;111.263;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/07/2025;;1;1;138.4772;124.508;131.0537;1.0;29.0;1.0;1.0;1.0;;0.0;138.4772;138.4772;136.0988;136.0988;136.0988;134.9171;133.7404;133.7404;133.7404;132.5688;131.4022;131.4022;131.4022;131.4022;131.4022;131.4022;131.4022;131.4022;131.4022;129.084;129.084;129.084;129.084;129.084;126.786;126.786;126.786;126.786;124.508;124.508;124.508;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/06/2025;;1;1;158.2257;138.4772;147.4635;1.0;28.0;1.0;1.0;1.0;;0.0;158.2257;158.2257;156.9539;155.687;154.4252;153.1684;151.9166;150.6698;150.6698;149.428;148.1912;148.1912;148.1912;148.1912;148.1912;148.1912;145.7326;145.7326;145.7326;145.7326;144.5109;143.2941;143.2941;143.2941;142.0823;140.8756;139.6739;138.4772;138.4772;138.4772;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22680000;1;01/05/2025;;1;1;285.6027;158.2257;191.0406;2.0;30.0;1.0;1.0;1.0;0.0;0.0;259.4373;285.6027;261.5023;243.0972;230.0608;220.1825;214.6607;208.787;202.9926;197.2777;193.0436;190.2458;187.4679;184.7098;179.2535;176.5552;173.8768;173.8768;171.2184;171.2184;168.5799;168.5799;165.9614;165.9614;163.3628;163.3628;163.3628;160.7843;160.7843;158.2257;158.2257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22680000;1;01/04/2025;;1;1;460.1936;218.2226;274.9909;13.0;10.0;1.0;1.0;1.0;0.0;0.0;294.135;272.9482;245.122;228.0747;223.1322;229.0671;243.0972;239.0629;229.0671;218.2226;260.4692;299.5061;460.1936;376.346;351.4027;324.5884;300.5839;277.1471;251.227;263.5723;238.0575;284.5416;260.4692;276.0955;264.6092;247.152;254.2965;256.349;310.3363;270.8561;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22680000;1;01/03/2025;;1;1;353.6662;204.4337;262.8375;22.0;10.0;1.0;1.0;1.0;0.0;0.0;340.1517;311.4257;282.4228;252.2489;260.4692;246.1364;234.0488;220.1825;213.1848;204.4337;205.8799;233.0499;225.1052;218.2226;243.0972;240.0695;233.0499;244.109;240.0695;230.0608;291.9948;353.6662;309.248;294.135;291.9948;268.7689;264.6092;281.3653;298.4295;304.9066;311.4257;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22680000;1;01/02/2025;;1;1;484.1574;226.0937;284.9722;3.0;9.0;1.0;1.0;1.0;0.0;0.0;295.2068;324.5884;484.1574;374.2341;300.5839;259.4373;238.0575;230.0608;226.0937;242.0867;246.1364;250.2063;240.0695;255.3221;234.0488;240.0695;236.0506;249.1869;232.0522;231.0559;262.5367;300.5839;303.8242;374.2341;371.9314;346.889;310.3363;320.1825;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0;0.0
22680000;1;01/01/2025;;1;1;693.4967;216.1415;328.0042;14.0;5.0;1.0;1.0;1.0;0.0;0.0;222.1476;240.0695;235.049;221.1644;216.1415;234.0488;238.0575;272.9482;307.075;291.9948;305.9902;349.1436;675.287;693.4967;631.9191;487.5973;363.9061;346.889;355.934;340.1517;320.1825;294.135;275.0452;273.9961;315.7949;303.8242;294.135;261.5023;247.152;266.6866;286.6651;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22680000;1;01/12/2024;;1;1;297.3541;186.0864;232.3722;19.0;13.0;1.0;1.0;1.0;0.0;0.0;224.118;234.0488;222.1476;234.0488;240.0695;236.0506;233.0499;228.0747;198.6989;190.2458;197.2777;195.8614;186.0864;195.8614;195.8614;214.6607;213.1848;275.0452;297.3541;268.7689;250.2063;238.0575;230.0608;252.2489;264.6092;283.4816;268.7689;252.2489;229.0671;218.2226;236.0506;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/11/2024;;1;1;317.9864;165.9614;216.6243;12.0;6.0;1.0;1.0;1.0;0.0;0.0;195.8614;195.8614;181.9717;168.5799;173.8768;165.9614;184.7098;173.8768;190.2458;180.6101;268.7689;317.9864;269.8119;253.272;260.4692;257.3772;245.122;210.248;186.0864;176.5552;204.4337;210.248;214.6607;220.1825;201.5564;246.1364;243.0972;235.049;236.0506;230.0608;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22680000;1;01/10/2024;;1;1;262.5367;111.263;150.9506;23.0;1.0;1.0;1.0;1.0;0.0;0.0;111.263;111.263;111.263;111.263;111.263;111.263;113.4201;117.7948;117.7948;122.2501;122.2501;122.2501;122.2501;122.2501;122.2501;122.2501;125.6445;134.9171;162.0711;160.7843;180.6101;247.152;262.5367;219.2019;194.45;163.3628;158.2257;221.1644;173.8768;198.6989;204.4337;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/09/2024;;1;1;122.2501;111.263;115.0103;1.0;19.0;1.0;1.0;1.0;0.0;0.0;122.2501;122.2501;122.2501;121.1288;120.0124;120.0124;117.7948;117.7948;117.7948;117.7948;115.5974;115.5974;115.5974;115.5974;113.4201;113.4201;113.4201;113.4201;111.263;111.263;111.263;111.263;111.263;111.263;111.263;111.263;111.263;111.263;111.263;111.263;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22680000;1;01/08/2024;;1;1;133.7404;122.2501;127.1814;1.0;24.0;1.0;1.0;1.0;0.0;0.0;133.7404;133.7404;132.5688;131.4022;131.4022;131.4022;130.2406;129.084;129.084;129.084;129.084;129.084;129.084;129.084;129.084;126.786;126.786;126.786;126.786;126.786;124.508;124.508;124.508;122.2501;122.2501;122.2501;122.2501;122.2501;122.2501;122.2501;122.2501;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/07/2024;;1;1;148.1912;133.7404;141.7278;1.0;31.0;1.0;1.0;1.0;0.0;0.0;148.1912;148.1912;148.1912;148.1912;148.1912;148.1912;146.9594;145.7326;145.7326;145.7326;144.5109;143.2941;143.2941;140.8756;140.8756;140.8756;140.8756;140.8756;140.8756;138.4772;138.4772;138.4772;138.4772;138.4772;137.2854;136.0988;136.0988;136.0988;136.0988;136.0988;133.7404;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/06/2024;;1;1;168.5799;150.6698;157.8898;1.0;25.0;1.0;1.0;1.0;0.0;0.0;168.5799;165.9614;165.9614;165.9614;164.6596;163.3628;163.3628;163.3628;160.7843;160.7843;160.7843;160.7843;158.2257;158.2257;158.2257;158.2257;155.687;155.687;155.687;155.687;153.1684;153.1684;153.1684;153.1684;150.6698;150.6698;150.6698;150.6698;150.6698;150.6698;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22680000;1;01/05/2024;;1;1;238.0575;171.2184;194.0923;1.0;30.0;1.0;1.0;1.0;0.0;0.0;238.0575;230.0608;224.118;220.1825;217.2447;211.7139;207.3309;204.4337;202.9926;201.5564;200.1252;198.6989;195.8614;193.0436;191.6422;190.2458;190.2458;187.4679;187.4679;184.7098;183.3383;181.9717;179.2535;179.2535;176.5552;176.5552;173.8768;173.8768;172.5451;171.2184;171.2184;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/04/2024;;1;1;657.1588;250.2063;333.4157;7.0;30.0;1.0;1.0;1.0;0.0;0.0;323.4852;304.9066;443.2024;344.6388;355.934;456.7869;657.1588;467.0197;359.3441;313.608;287.7286;281.3653;404.5369;392.8878;355.934;304.9066;272.9482;277.1471;311.4257;298.4295;316.89;288.7934;265.6473;265.6473;268.7689;277.1471;296.2799;290.9265;268.7689;250.2063;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22680000;1;01/03/2024;;1;1;386.2569;217.2447;270.0016;5.0;19.0;1.0;1.0;1.0;0.0;0.0;258.4066;277.1471;302.7429;311.4257;386.2569;382.9485;316.89;283.4816;261.5023;246.1364;246.1364;229.0671;261.5023;252.2489;238.0575;225.1052;230.0608;222.1476;217.2447;270.8561;353.6662;329.0125;298.4295;280.3089;257.3772;241.0775;230.0608;226.0937;227.0836;256.349;251.227;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;1;01/02/2024;;1;1;952.4239;217.2447;347.5476;21.0;8.0;1.0;1.0;1.0;0.0;0.0;348.0158;351.4027;298.4295;264.6092;248.1688;234.0488;224.118;217.2447;246.1364;293.0643;369.6331;374.2341;315.7949;265.6473;239.0629;230.0608;254.2965;258.4066;295.2068;487.5973;952.4239;841.9462;557.2202;467.0197;341.2718;289.8593;290.9265;266.6866;256.349;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0;0.0
22680000;1;01/01/2024;;1;1;682.5612;173.8768;314.924;28.0;1.0;1.0;1.0;1.0;0.0;0.0;173.8768;269.8119;277.1471;270.8561;320.1825;367.339;302.7429;261.5023;256.349;277.1471;240.0695;245.122;272.9482;272.9482;251.227;250.2063;256.349;234.0488;227.0836;230.0608;242.0867;275.0452;291.9948;349.1436;412.8922;416.2422;592.5958;682.5612;494.4891;412.8922;335.6825;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;2;01/12/2023;;1;1;257.6823;160.5492;186.7609;20.0;10.0;1.0;1.0;1.0;239.7853;1.0;164.6441;172.9608;166.7074;177.1822;196.6938;196.6938;185.7504;172.9608;166.7074;160.5492;166.7074;172.9608;175.0662;198.9134;198.9134;183.5927;170.8658;162.5913;164.6441;257.6823;247.861;243.0095;226.3416;214.7361;192.2855;175.0662;170.8658;172.9608;177.1822;177.1822;179.3086;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22680000;2;01/11/2023;;1;1;280.3509;148.5207;196.2652;3.0;16.0;1.0;1.0;1.0;239.7853;1.0;150.4986;219.3481;280.3509;252.752;212.4452;233.4253;221.6692;217.037;196.6938;181.4455;170.8658;166.7074;158.5177;152.4873;150.4986;148.5207;172.9608;187.9184;194.4845;205.6335;226.3416;240.5986;221.6692;205.6335;196.6938;192.2855;192.2855;190.0968;179.3086;168.7813;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
