fid;DN;a_quilômetros quadrados;p_quilômetros
1123;21;0;0.17
1124;33;0;0.17
1125;3;0;0.35
1126;3;0;0.17
1127;3;0;0.12
1128;12;0;0.17
1129;3;0;0.12
1130;21;0.02;1.55
1131;21;0.01;0.81
1132;3;0;0.23
1133;21;0;0.29
1134;3;0;0.12
1135;21;0;0.17
1136;21;0;0.17
1137;21;0.18;5.99
1138;3;0;0.12
1139;21;0;0.12
1140;21;0;0.17
1141;3;0;0.12
1142;21;0.08;2.71
1143;21;0.04;1.32
1144;12;0.01;0.46
1145;21;0.01;0.4
1146;21;0;0.23
1147;21;0.02;0.75
1148;21;0;0.23
1149;12;0.01;0.52
1150;33;0.01;0.58
1151;21;0.01;0.75
1152;21;0;0.23
1153;3;0;0.12
1154;15;0.08;2.24
1155;12;0.01;0.52
1156;21;0.21;5.89
1157;21;0;0.23
1158;33;0;0.23
1159;21;0;0.17
1160;12;0;0.23
1161;3;0.27;3.86
1162;21;0;0.12
1163;21;0;0.12
1164;21;0;0.23
1165;33;0;0.12
1166;21;0;0.12
1167;21;0;0.12
1168;21;0;0.12
1169;21;0;0.17
1170;33;0.02;1.17
1171;15;0.02;0.81
1172;21;0.01;0.58
1173;21;0.02;0.98
1174;21;0;0.17
1175;21;0;0.23
1176;3;0;0.23
1177;21;0;0.12
1178;3;0;0.12
1179;3;0;0.12
1180;33;0.01;0.46
1181;12;0;0.12
1182;21;0.01;0.51
1183;21;0;0.12
1184;21;0.03;1.27
1185;15;0.08;2.19
1186;15;0.05;1.09
1187;3;0.02;0.64
1188;21;0.09;2.48
1189;12;0.06;1.43
1190;21;0.03;1.5
1191;15;0.01;0.4
1192;12;0.01;0.4
1193;3;0;0.29
1194;15;0;0.23
1195;21;0;0.17
1196;21;0;0.23
1197;21;0;0.23
1198;21;0;0.17
1199;3;0;0.12
1200;21;0;0.12
1201;21;0;0.12
1202;33;0;0.12
1203;12;0;0.17
1204;21;0;0.34
1205;21;0;0.12
1206;21;0.07;1.95
1207;9;0.01;0.58
1208;15;0.12;2.07
1209;12;0.05;1.55
1210;21;0.05;2.08
1211;21;0;0.23
1212;21;0;0.17
1213;21;0;0.29
1214;3;0;0.34
1215;21;0;0.17
1216;3;0;0.12
1217;3;0;0.12
1218;21;0;0.12
1219;21;0;0.17
1220;21;0;0.12
1221;21;0.08;3.12
1222;21;0.02;0.82
1223;21;0.05;2.94
1224;12;0;0.29
1225;3;0;0.17
1226;3;0;0.23
1227;21;0;0.12
1228;21;0;0.29
1229;21;0;0.23
1230;21;0;0.29
1231;21;0;0.23
1232;33;0;0.23
1233;21;0;0.23
1234;15;0.02;0.81
1235;33;0;0.17
1236;21;0;0.17
1237;21;0;0.17
1238;15;0;0.12
1239;3;0;0.17
1240;3;0;0.12
1241;21;0;0.12
1242;21;0;0.12
1243;21;0;0.12
1244;21;0;0.12
1245;21;0;0.12
1246;21;0.05;1.57
1247;15;0.03;0.93
1248;21;0;0.35
1249;21;0.01;0.52
1250;21;0.01;0.63
1251;3;0.01;0.4
1252;25;0.01;0.52
1253;21;0;0.12
1254;21;0;0.12
1255;15;0.03;1.04
