Vazão (m³/s);Permanência (%)
4,708799839;98,57
4,708799839;98,56
4,708799839;98,56
4,708799839;98,55
4,708799839;98,55
4,716199875;98,55
4,716199875;98,54
4,716199875;98,54
4,716199875;98,53
4,716199875;98,53
4,716199875;98,52
4,716199875;98,52
4,716199875;98,51
4,716199875;98,51
4,716199875;98,5
4,716199875;98,5
4,716199875;98,5
4,716199875;98,49
4,716199875;98,49
4,716199875;98,48
4,716199875;98,48
4,716199875;98,47
4,716199875;98,47
4,716199875;98,46
4,716199875;98,46
4,796899796;98,46
4,796899796;98,45
4,819399834;98,45
4,849599838;98,44
4,849599838;98,44
4,849599838;98,43
4,849599838;98,43
4,849599838;98,42
4,849599838;98,42
4,849599838;98,42
4,849599838;98,41
4,849599838;98,41
4,863699913;98,4
4,870800018;98,4
4,870800018;98,39
4,870800018;98,39
4,870800018;98,38
4,870800018;98,38
4,875999928;98,37
4,875999928;98,37
4,875999928;98,37
4,875999928;98,36
4,875999928;98,36
4,875999928;98,35
4,875999928;98,35
4,875999928;98,34
4,875999928;98,34
4,875999928;98,33
4,875999928;98,33
4,875999928;98,33
4,875999928;98,32
4,875999928;98,32
4,875999928;98,31
4,875999928;98,31
4,875999928;98,3
4,875999928;98,3
4,875999928;98,29
4,875999928;98,29
4,875999928;98,28
4,875999928;98,28
4,875999928;98,28
4,875999928;98,27
4,875999928;98,27
4,875999928;98,26
4,888500214;98,26
4,888500214;98,25
4,888500214;98,25
4,888500214;98,24
4,888500214;98,24
4,940599918;98,24
4,957799911;98,23
4,957799911;98,23
4,957799911;98,22
4,957799911;98,22
4,957799911;98,21
4,974899769;98,21
4,974899769;98,2
4,984499931;98,2
5,009699821;98,2
5,009699821;98,19
5,009699821;98,19
5,009699821;98,18
5,009699821;98,18
5,009699821;98,17
5,009699821;98,17
5,009699821;98,16
5,009699821;98,16
5,009699821;98,15
5,009699821;98,15
5,009699821;98,15
5,009699821;98,14
5,009699821;98,14
5,009699821;98,13
5,009699821;98,13
5,009699821;98,12
5,009699821;98,12
5,009699821;98,11
5,009699821;98,11
5,009699821;98,11
5,009699821;98,1
5,009699821;98,1
5,009699821;98,09
5,009699821;98,09
5,009699821;98,08
5,009699821;98,08
5,009699821;98,07
5,009699821;98,07
5,009699821;98,07
5,009699821;98,06
5,009699821;98,06
5,009699821;98,05
5,009699821;98,05
5,009699821;98,04
5,009699821;98,04
5,009699821;98,03
5,009699821;98,03
5,009699821;98,02
5,009699821;98,02
5,009699821;98,02
5,009699821;98,01
5,009699821;98,01
5,009699821;98
5,01940012;98
5,01940012;97,99
5,01940012;97,99
5,01940012;97,98
5,01940012;97,98
5,01940012;97,98
5,01940012;97,97
5,01940012;97,97
5,01940012;97,96
5,01940012;97,96
5,01940012;97,95
5,034699917;97,95
5,034699917;97,94
5,034699917;97,94
5,034699917;97,93
5,038499832;97,93
5,038499832;97,93
5,038499832;97,92
5,038499832;97,92
5,038499832;97,91
5,038499832;97,91
5,038499832;97,9
5,038499832;97,9
5,038499832;97,89
5,038499832;97,89
5,038499832;97,89
5,038499832;97,88
5,038499832;97,88
5,094200134;97,87
5,120399952;97,87
5,120399952;97,86
5,120399952;97,86
5,120399952;97,85
5,120699883;97,85
5,120699883;97,85
5,120699883;97,84
5,120699883;97,84
5,120699883;97,83
5,120699883;97,83
5,120699883;97,82
5,120699883;97,82
5,120699883;97,81
5,120699883;97,81
5,120699883;97,8
5,120699883;97,8
5,120699883;97,8
5,120699883;97,79
5,120699883;97,79
5,120699883;97,78
5,120699883;97,78
5,120699883;97,77
5,15170002;97,77
5,15170002;97,76
5,171800137;97,76
5,171800137;97,76
5,171800137;97,75
5,171800137;97,75
5,171800137;97,74
5,171800137;97,74
5,171800137;97,73
5,171800137;97,73
5,171800137;97,72
5,171800137;97,72
5,171800137;97,71
5,171800137;97,71
5,171800137;97,71
5,171800137;97,7
5,171800137;97,7
5,171800137;97,69
5,17689991;97,69
5,17689991;97,68
5,17689991;97,68
5,17689991;97,67
5,186999798;97,67
5,186999798;97,67
5,200500011;97,66
5,200500011;97,66
5,200500011;97,65
5,200500011;97,65
5,200500011;97,64
5,200500011;97,64
5,200500011;97,63
5,20359993;97,63
5,20359993;97,63
5,20359993;97,62
5,20359993;97,62
5,20359993;97,61
5,20359993;97,61
5,20359993;97,6
5,20359993;97,6
5,20359993;97,59
5,20359993;97,59
5,20359993;97,58
5,20359993;97,58
5,20359993;97,58
5,20359993;97,57
5,20359993;97,57
5,20359993;97,56
5,20359993;97,56
5,20359993;97,55
5,20359993;97,55
5,20359993;97,54
5,20359993;97,54
5,20359993;97,54
5,20359993;97,53
5,20359993;97,53
5,20359993;97,52
5,20359993;97,52
5,20359993;97,51
5,20359993;97,51
5,20359993;97,5
5,20359993;97,5
5,249700069;97,5
5,249700069;97,49
5,249700069;97,49
5,249700069;97,48
5,267499924;97,48
5,267499924;97,47
5,267499924;97,47
5,267499924;97,46
5,267499924;97,46
5,267499924;97,45
5,267499924;97,45
5,267499924;97,45
5,267499924;97,44
5,267499924;97,44
5,267499924;97,43
5,267499924;97,43
5,267499924;97,42
5,267499924;97,42
5,267499924;97,41
5,267499924;97,41
5,267499924;97,41
5,267499924;97,4
5,267499924;97,4
5,267499924;97,39
5,267499924;97,39
5,267499924;97,38
5,267499924;97,38
5,267499924;97,37
5,28550005;97,37
5,28550005;97,36
5,28550005;97,36
5,28550005;97,36
5,28550005;97,35
5,28550005;97,35
5,28550005;97,34
5,28550005;97,34
5,28550005;97,33
5,28550005;97,33
5,28550005;97,32
5,33589983;97,32
5,33589983;97,32
5,33589983;97,31
5,33589983;97,31
5,33589983;97,3
5,33589983;97,3
5,33589983;97,29
5,33589983;97,29
5,33589983;97,28
5,33589983;97,28
5,33589983;97,28
5,33589983;97,27
5,33589983;97,27
5,33589983;97,26
5,33589983;97,26
5,33589983;97,25
5,33589983;97,25
5,33589983;97,24
5,33589983;97,24
5,33589983;97,23
5,33589983;97,23
5,33589983;97,23
5,33589983;97,22
5,33589983;97,22
5,33589983;97,21
5,33589983;97,21
5,33589983;97,2
5,33589983;97,2
5,33589983;97,19
5,33589983;97,19
5,33589983;97,19
5,33589983;97,18
5,33589983;97,18
5,33589983;97,17
5,33589983;97,17
5,33589983;97,16
5,33589983;97,16
5,336100101;97,15
5,336100101;97,15
5,336100101;97,14
5,336100101;97,14
5,336100101;97,14
5,336100101;97,13
5,336100101;97,13
5,336100101;97,12
5,336100101;97,12
5,336100101;97,11
5,336100101;97,11
5,336100101;97,1
5,336100101;97,1
5,336100101;97,1
5,336100101;97,09
5,336100101;97,09
5,336100101;97,08
5,336100101;97,08
5,338699818;97,07
5,338699818;97,07
5,368199825;97,06
5,368199825;97,06
5,368199825;97,06
5,371200085;97,05
5,371200085;97,05
5,371200085;97,04
5,371200085;97,04
5,371200085;97,03
5,371200085;97,03
5,371200085;97,02
5,371200085;97,02
5,416100025;97,01
5,416100025;97,01
5,452300072;97,01
5,452300072;97
5,452300072;97
5,452300072;96,99
5,452300072;96,99
5,452300072;96,98
5,452300072;96,98
5,452300072;96,97
5,452300072;96,97
5,452300072;96,97
5,452300072;96,96
5,452300072;96,96
5,452300072;96,95
5,492000103;96,95
5,492000103;96,94
5,492000103;96,94
5,492000103;96,93
5,492000103;96,93
5,492199898;96,92
5,492199898;96,92
5,492199898;96,92
5,492199898;96,91
5,492199898;96,91
5,497099876;96,9
5,497099876;96,9
5,497099876;96,89
5,497099876;96,89
5,497099876;96,88
5,501999855;96,88
5,501999855;96,88
5,501999855;96,87
5,501999855;96,87
5,501999855;96,86
5,501999855;96,86
5,501999855;96,85
5,501999855;96,85
5,501999855;96,84
5,501999855;96,84
5,501999855;96,84
5,501999855;96,83
5,537700176;96,83
5,537700176;96,82
5,537700176;96,82
5,537700176;96,81
5,537700176;96,81
5,537700176;96,8
5,537700176;96,8
5,541399956;96,79
5,541399956;96,79
5,541399956;96,79
5,541399956;96,78
5,541399956;96,78
5,541399956;96,77
5,541399956;96,77
5,541399956;96,76
5,541399956;96,76
5,541399956;96,75
5,541399956;96,75
5,541399956;96,75
5,541399956;96,74
5,541399956;96,74
5,541399956;96,73
5,541399956;96,73
5,541399956;96,72
5,541399956;96,72
5,541399956;96,71
5,541399956;96,71
5,566299915;96,71
5,566299915;96,7
5,566299915;96,7
5,566299915;96,69
5,566299915;96,69
5,566299915;96,68
5,566299915;96,68
5,566299915;96,67
5,566299915;96,67
5,566299915;96,66
5,566299915;96,66
5,566299915;96,66
5,566299915;96,65
5,566299915;96,65
5,566500187;96,64
5,566500187;96,64
5,566500187;96,63
5,566500187;96,63
5,566500187;96,62
5,588600159;96,62
5,588600159;96,62
5,588600159;96,61
5,620999813;96,61
5,620999813;96,6
5,620999813;96,6
5,620999813;96,59
5,620999813;96,59
5,620999813;96,58
5,620999813;96,58
5,620999813;96,57
5,646999836;96,57
5,646999836;96,57
5,646999836;96,56
5,659699917;96,56
5,659699917;96,55
5,659699917;96,55
5,659699917;96,54
5,659699917;96,54
5,659699917;96,53
5,659699917;96,53
5,659699917;96,53
5,659699917;96,52
5,659699917;96,52
5,659699917;96,51
5,659699917;96,51
5,659699917;96,5
5,659699917;96,5
5,659699917;96,49
5,659699917;96,49
5,659699917;96,49
5,659699917;96,48
5,659699917;96,48
5,659699917;96,47
5,665500164;96,47
5,665500164;96,46
5,670100212;96,46
5,670100212;96,45
5,670100212;96,45
5,670100212;96,44
5,670100212;96,44
5,670100212;96,44
5,670100212;96,43
5,670100212;96,43
5,670100212;96,42
5,670100212;96,42
5,670100212;96,41
5,670100212;96,41
5,670100212;96,4
5,670100212;96,4
5,670100212;96,4
5,670100212;96,39
5,670100212;96,39
5,670100212;96,38
5,670100212;96,38
5,670100212;96,37
5,670100212;96,37
5,670100212;96,36
5,670100212;96,36
5,670100212;96,35
5,670100212;96,35
5,670100212;96,35
5,670100212;96,34
5,670100212;96,34
5,670100212;96,33
5,670100212;96,33
5,670100212;96,32
5,670100212;96,32
5,670100212;96,31
5,670100212;96,31
5,670100212;96,31
5,670100212;96,3
5,670100212;96,3
5,670100212;96,29
5,670100212;96,29
5,70909977;96,28
5,70909977;96,28
5,70909977;96,27
5,70909977;96,27
5,70909977;96,27
5,70909977;96,26
5,70909977;96,26
5,70909977;96,25
5,71420002;96,25
5,71420002;96,24
5,71420002;96,24
5,71420002;96,23
5,71420002;96,23
5,71420002;96,22
5,71420002;96,22
5,71420002;96,22
5,71420002;96,21
5,71420002;96,21
5,717999935;96,2
5,727799892;96,2
5,727799892;96,19
5,741000175;96,19
5,791699886;96,18
5,791699886;96,18
5,791699886;96,18
5,791699886;96,17
5,791699886;96,17
5,791699886;96,16
5,791699886;96,16
5,791699886;96,15
5,791699886;96,15
5,791699886;96,14
5,791699886;96,14
5,791699886;96,14
5,791699886;96,13
5,791699886;96,13
5,791699886;96,12
5,791699886;96,12
5,791699886;96,11
5,791699886;96,11
5,791699886;96,1
5,791699886;96,1
5,791699886;96,09
5,791699886;96,09
5,791699886;96,09
5,803599834;96,08
5,803599834;96,08
5,803599834;96,07
5,803599834;96,07
5,803599834;96,06
5,824100018;96,06
5,824100018;96,05
5,824100018;96,05
5,824100018;96,05
5,824100018;96,04
5,824100018;96,04
5,840099812;96,03
5,840099812;96,03
5,840099812;96,02
5,840099812;96,02
5,840099812;96,01
5,840099812;96,01
5,840099812;96
5,840099812;96
5,840099812;96
5,840099812;95,99
5,840799809;95,99
5,840799809;95,98
5,840799809;95,98
5,840799809;95,97
5,871200085;95,97
5,871200085;95,96
5,871200085;95,96
5,8822999;95,96
5,8822999;95,95
5,8822999;95,95
5,8822999;95,94
5,8822999;95,94
5,8822999;95,93
5,8822999;95,93
5,8822999;95,92
5,8822999;95,92
5,8822999;95,92
5,8822999;95,91
5,8822999;95,91
5,8895998;95,9
5,8895998;95,9
5,8895998;95,89
5,8895998;95,89
5,8895998;95,88
5,8895998;95,88
5,8895998;95,87
5,8895998;95,87
5,8895998;95,87
5,8895998;95,86
5,8895998;95,86
5,8895998;95,85
5,8895998;95,85
5,8895998;95,84
5,8895998;95,84
5,8895998;95,83
5,8895998;95,83
5,8895998;95,83
5,8895998;95,82
5,8895998;95,82
5,8895998;95,81
5,8895998;95,81
5,890900135;95,8
5,890900135;95,8
5,890900135;95,79
5,890900135;95,79
5,890900135;95,78
5,890900135;95,78
5,890900135;95,78
5,890900135;95,77
5,890900135;95,77
5,890900135;95,76
5,890900135;95,76
5,890900135;95,75
5,894800186;95,75
5,894800186;95,74
5,961800098;95,74
5,961800098;95,74
5,961800098;95,73
5,961800098;95,73
5,961800098;95,72
5,961800098;95,72
5,964300156;95,71
5,964300156;95,71
5,964300156;95,7
5,964300156;95,7
5,964300156;95,7
5,964300156;95,69
5,964300156;95,69
5,964300156;95,68
5,964300156;95,68
5,964300156;95,67
5,964300156;95,67
5,964300156;95,66
5,964300156;95,66
5,964300156;95,65
5,990099907;95,65
5,990099907;95,65
5,990099907;95,64
5,990099907;95,64
5,990099907;95,63
5,990099907;95,63
5,990099907;95,62
5,990099907;95,62
5,990099907;95,61
5,990099907;95,61
5,990099907;95,61
5,990099907;95,6
5,990099907;95,6
6,01210022;95,59
6,01210022;95,59
6,01210022;95,58
6,01210022;95,58
6,01210022;95,57
6,01210022;95,57
6,01210022;95,57
6,01210022;95,56
6,01210022;95,56
6,01210022;95,55
6,01210022;95,55
6,01210022;95,54
6,01210022;95,54
6,01210022;95,53
6,01210022;95,53
6,01210022;95,52
6,01210022;95,52
6,01210022;95,52
6,01210022;95,51
6,01210022;95,51
6,01210022;95,5
6,01210022;95,5
6,01210022;95,49
6,01210022;95,49
6,01210022;95,48
6,01210022;95,48
6,01210022;95,48
6,018199921;95,47
6,018199921;95,47
6,018199921;95,46
6,026000023;95,46
6,026000023;95,45
6,026000023;95,45
6,055900097;95,44
6,055900097;95,44
6,055900097;95,43
6,055900097;95,43
6,057300091;95,43
6,067599773;95,42
6,067599773;95,42
6,067599773;95,41
6,067599773;95,41
6,067599773;95,4
6,067599773;95,4
6,067599773;95,39
6,067599773;95,39
6,067599773;95,39
6,067599773;95,38
6,067599773;95,38
6,121600151;95,37
6,121600151;95,37
6,121600151;95,36
6,121600151;95,36
6,121600151;95,35
6,121600151;95,35
6,138700008;95,35
6,138700008;95,34
6,138700008;95,34
6,138700008;95,33
6,138700008;95,33
6,138700008;95,32
6,138700008;95,32
6,138700008;95,31
6,138700008;95,31
6,138700008;95,3
6,138700008;95,3
6,138700008;95,3
6,138700008;95,29
6,138700008;95,29
6,138700008;95,28
6,138700008;95,28
6,138700008;95,27
6,138700008;95,27
6,138700008;95,26
6,138700008;95,26
6,138700008;95,26
6,138700008;95,25
6,138700008;95,25
6,138700008;95,24
6,138700008;95,24
6,138700008;95,23
6,138700008;95,23
6,138700008;95,22
6,138700008;95,22
6,138700008;95,21
6,138700008;95,21
6,138700008;95,21
6,138700008;95,2
6,138700008;95,2
6,138700008;95,19
6,138700008;95,19
6,138700008;95,18
6,138700008;95,18
6,138700008;95,17
6,138700008;95,17
6,138700008;95,17
6,138700008;95,16
6,138700008;95,16
6,138700008;95,15
6,138700008;95,15
6,138700008;95,14
6,138700008;95,14
6,138700008;95,13
6,138700008;95,13
6,138700008;95,13
6,138700008;95,12
6,138700008;95,12
6,138700008;95,11
6,157800198;95,11
6,157800198;95,1
6,157800198;95,1
6,182300091;95,09
6,182300091;95,09
6,182300091;95,08
6,182300091;95,08
6,182300091;95,08
6,182300091;95,07
6,182300091;95,07
6,182300091;95,06
6,182300091;95,06
6,182300091;95,05
6,182300091;95,05
6,182300091;95,04
6,182300091;95,04
6,182300091;95,04
6,186100006;95,03
6,186100006;95,03
6,186100006;95,02
6,186100006;95,02
6,186100006;95,01
6,186100006;95,01
6,186100006;95
6,186100006;95
6,186100006;95
6,186100006;94,99
6,186100006;94,99
6,197500229;94,98
6,197500229;94,98
6,197500229;94,97
6,197500229;94,97
6,207099915;94,96
6,207099915;94,96
6,207099915;94,95
6,207099915;94,95
6,222799778;94,95
6,222799778;94,94
6,222799778;94,94
6,222799778;94,93
6,222799778;94,93
6,222799778;94,92
6,222799778;94,92
6,222799778;94,91
6,222799778;94,91
6,222799778;94,91
6,222799778;94,9
6,222799778;94,9
6,222799778;94,89
6,222799778;94,89
6,222799778;94,88
6,222799778;94,88
6,222799778;94,87
6,222799778;94,87
6,222799778;94,86
6,222799778;94,86
6,222799778;94,86
6,234000206;94,85
6,234000206;94,85
6,234000206;94,84
6,234000206;94,84
6,234000206;94,83
6,234000206;94,83
6,234000206;94,82
6,234000206;94,82
6,234000206;94,82
6,234000206;94,81
6,24819994;94,81
6,24819994;94,8
6,24819994;94,8
6,24819994;94,79
6,24819994;94,79
6,24819994;94,78
6,24819994;94,78
6,24819994;94,78
6,24819994;94,77
6,24819994;94,77
6,24819994;94,76
6,24819994;94,76
6,24819994;94,75
6,24819994;94,75
6,282899857;94,74
6,282899857;94,74
6,282899857;94,73
6,282899857;94,73
6,282899857;94,73
6,282899857;94,72
6,315000057;94,72
6,315000057;94,71
6,315000057;94,71
6,315000057;94,7
6,315000057;94,7
6,315000057;94,69
6,315000057;94,69
6,315000057;94,69
6,315000057;94,68
6,315000057;94,68
6,315000057;94,67
6,315000057;94,67
6,315000057;94,66
6,315000057;94,66
6,315000057;94,65
6,315000057;94,65
6,315000057;94,64
6,315000057;94,64
6,315000057;94,64
6,315000057;94,63
6,315000057;94,63
6,315000057;94,62
6,315000057;94,62
6,315000057;94,61
6,315000057;94,61
6,315000057;94,6
6,315000057;94,6
6,315000057;94,6
6,315000057;94,59
6,315000057;94,59
6,315000057;94,58
6,315000057;94,58
6,315000057;94,57
6,315000057;94,57
6,315000057;94,56
6,315000057;94,56
6,315000057;94,56
6,315000057;94,55
6,315000057;94,55
6,315000057;94,54
6,315000057;94,54
6,315000057;94,53
6,315000057;94,53
6,327199936;94,52
6,327199936;94,52
6,327199936;94,51
6,327199936;94,51
6,327199936;94,51
6,327199936;94,5
6,327199936;94,5
6,327199936;94,49
6,327199936;94,49
6,327199936;94,48
6,327199936;94,48
6,327199936;94,47
6,327199936;94,47
6,327199936;94,47
6,327199936;94,46
6,327199936;94,46
6,327199936;94,45
6,327199936;94,45
6,327199936;94,44
6,327199936;94,44
6,327199936;94,43
6,327199936;94,43
6,340000153;94,42
6,340000153;94,42
6,361999989;94,42
6,361999989;94,41
6,361999989;94,41
6,361999989;94,4
6,361999989;94,4
6,361999989;94,39
6,361999989;94,39
6,361999989;94,38
6,361999989;94,38
6,361999989;94,38
6,361999989;94,37
6,361999989;94,37
6,361999989;94,36
6,361999989;94,36
6,361999989;94,35
6,361999989;94,35
6,361999989;94,34
6,361999989;94,34
6,361999989;94,34
