EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
22700000;1;01/12/2025;;1;1;340.3351;178.7967;221.8522;21.0;29.0;1.0;1.0;1.0;0.0;0.0;196.302;228.4892;199.9093;191.3115;189.8983;199.185;198.4621;244.363;226.1578;215.4484;209.4546;237.1485;238.7416;255.8182;220.0037;209.4546;195.5849;270.1102;240.3405;234.7696;340.3351;264.1744;239.5403;220.768;202.0907;189.1939;187.089;184.3024;178.7967;218.4796;251.6945;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22700000;1;01/11/2025;;1;1;347.3455;111.0757;173.3359;22.0;1.0;1.0;1.0;1.0;0.0;0.0;111.0757;111.6041;122.4577;123.573;126.9518;135.0277;140.3617;148.8815;142.1645;140.3617;143.9798;143.3734;140.9613;133.8575;131.5336;119.6932;115.341;129.8052;121.9021;138.5713;214.6942;347.3455;289.2305;237.1485;228.4892;280.4519;290.9436;254.1644;234.7696;201.3622;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22700000;1;01/10/2025;;1;1;162.1716;101.7956;114.3465;23.0;7.0;1.0;1.0;1.0;0.0;0.0;105.8661;104.8404;104.3295;103.8201;102.8051;102.2997;101.7956;103.3119;104.8404;105.8661;106.8972;114.2665;121.9021;119.6932;116.4209;113.7313;110.5487;108.454;107.4148;110.5487;114.8031;134.4419;162.1716;143.9798;132.6928;123.0147;118.597;114.2665;111.0757;109.4986;110.5487;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22700000;1;01/09/2025;;1;1;113.7313;106.381;111.2445;13.0;30.0;1.0;1.0;1.0;0.0;0.0;113.1975;113.1975;113.1975;112.1339;112.1339;112.1339;112.1339;111.0757;111.0757;111.0757;111.6041;112.665;113.7313;113.1975;112.665;112.1339;111.0757;110.5487;109.4986;108.454;107.4148;109.4986;111.0757;112.665;113.7313;113.7313;111.0757;107.9337;106.8972;106.381;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22700000;1;01/08/2025;;1;1;124.1327;114.2665;119.8356;1.0;30.0;1.0;1.0;1.0;0.0;0.0;124.1327;124.1327;123.0147;123.0147;123.0147;123.0147;122.4577;121.9021;121.9021;121.9021;121.3478;120.7949;121.3478;120.7949;120.7949;120.7949;120.2434;119.6932;119.6932;119.1444;118.597;118.597;117.5062;117.5062;116.9629;116.4209;116.4209;115.8803;115.341;114.2665;114.2665;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22700000;1;01/07/2025;;1;1;135.6148;125.2563;130.6593;1.0;30.0;1.0;1.0;1.0;;0.0;135.6148;135.6148;135.6148;134.4419;134.4419;134.4419;133.2745;133.2745;132.6928;132.1125;132.1125;132.1125;131.5336;130.9561;130.9561;130.9561;130.9561;129.8052;129.8052;129.8052;129.2318;128.6597;128.6597;128.089;127.5197;127.5197;126.9518;126.3853;126.3853;125.2563;125.2563;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22700000;1;01/06/2025;;1;1;152.616;136.2034;143.028;1.0;30.0;1.0;1.0;1.0;;0.0;152.616;151.3656;150.1208;149.5005;148.264;147.6478;147.033;146.4196;145.8076;145.1969;143.9798;143.9798;143.9798;142.7683;142.7683;142.1645;141.5622;141.5622;141.5622;140.3617;140.3617;139.7635;139.1667;139.1667;137.9772;137.9772;137.9772;136.7933;136.7933;136.2034;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22700000;1;01/05/2025;;1;1;315.1942;153.872;185.9093;2.0;31.0;1.0;1.0;1.0;0.0;0.0;257.4778;315.1942;271.8192;241.9452;223.8393;211.6916;202.8207;199.185;192.7303;187.7892;183.6092;180.1647;178.1149;174.0533;170.0422;168.7165;167.3963;166.0817;165.4265;164.1203;163.4693;162.1716;161.5248;160.2354;158.9515;157.6733;157.0363;156.4006;155.1335;154.5021;153.872;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22700000;1;01/04/2025;;1;1;460.3286;205.7549;286.9713;13.0;10.0;1.0;1.0;1.0;0.0;0.0;315.1942;281.3231;240.3405;220.768;210.1988;215.4484;233.1909;234.7696;219.2409;205.7549;262.4915;324.2336;460.3286;415.9302;377.668;355.2118;327.2729;293.8354;255.8182;346.5633;266.7096;303.3248;283.0701;290.2227;275.2548;250.0552;244.363;299.6586;309.2333;291.6653;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.0
22700000;1;01/03/2025;;1;1;373.6115;191.3115;266.8135;22.0;11.0;1.0;1.0;1.0;0.0;0.0;366.3607;336.4688;303.3248;259.1433;262.4915;249.2377;228.4892;209.4546;200.635;192.7303;191.3115;212.4401;222.3008;212.4401;228.4892;248.4216;229.2692;242.7497;235.5611;229.2692;276.9813;373.6115;335.698;306.2725;314.4462;282.1959;265.8631;285.7015;309.9755;329.5609;330.3252;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
