EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status
22850000;2;01/04/2010;;1;1;;;245.72;;;0;0;2;;0;377.9682;399.5415;450.6429;478.7885;488.8855;495.6638;533.6122;563.7026;549.4597;502.4796;462.1492;266.7999;235.7798;;;;;;;;;;;;;;;;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;;;;;;;;;;;;;;;;
22850000;2;01/03/2010;;1;1;502.4796;200.3837;320.6325;27.0;18.0;2;2;2;;0;273.4554;288.3287;299.3439;313.3455;302.1236;288.3287;293.8155;377.9682;365.8578;359.8622;346.5182;336.2802;320.4425;262.8383;370.3806;243.39;211.1205;200.3837;207.5165;215.9645;224.5476;232.0112;243.39;300.7324;364.3551;431.1903;502.4796;485.5104;450.6429;426.3812;401.1008;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;2.0;2.0;2.0;1.0;1.0;1.0;2.0;2.0
22850000;2;01/02/2010;;1;1;285.601;116.1516;183.8074;1.0;8.0;1;1;1;;0;285.601;280.1767;194.5166;157.5779;148.0522;133.7134;123.834;116.1516;123.834;133.7134;148.0522;173.9804;148.0522;126.7658;119.968;116.1516;143.8955;189.8735;212.3273;233.2647;266.7999;253.6876;235.7798;192.1894;201.5655;205.1278;228.2671;253.6876;;;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;;;
22850000;2;01/01/2010;;1;1;530.1159;118.0536;271.3185;13.0;20.0;1;1;1;;0;145.9679;355.3916;286.9635;219.6265;167.3411;155.4404;223.3132;277.4803;319.018;193.3516;175.0971;153.3148;530.1159;413.6633;293.8155;245.9483;203.9376;180.7233;125.7854;118.0536;222.0815;343.5804;266.7999;337.7352;323.2992;307.7139;262.8383;516.2234;391.7815;368.8705;285.601;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22850000;2;01/12/2009;;1;1;581.7117;113.3219;236.7541;15.0;20.0;1;1;1;;0;156.5077;277.4803;297.9579;324.7314;189.8735;202.7502;153.3148;167.3411;180.7233;320.4425;353.9065;160.806;194.5166;151.2009;581.7117;512.7735;396.4302;161.8879;148.0522;113.3219;138.7669;178.4642;149.0988;181.8571;192.1894;233.2647;187.569;219.6265;212.3273;358.3695;242.1148;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22850000;2;01/11/2009;;1;1;165.1511;49.4165;103.0025;18.0;21.0;1;1;1;;0;120.9299;138.7669;131.7131;57.7443;65.0773;76.7279;93.4398;69.6449;58.4617;62.8404;79.964;119.968;114.262;120.9299;129.7251;152.2563;139.7866;165.1511;143.8955;119.968;49.4165;52.823;62.1018;81.6022;122.8629;122.8629;133.7134;119.968;88.2876;95.1832;;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;
22850000;2;01/10/2009;;1;1;161.8879;46.7575;79.5311;31.0;8.0;2;2;2;;0;52.823;57.7443;58.4617;62.1018;57.7443;65.8299;52.1344;46.7575;63.5826;67.3455;78.3393;86.5964;92.5729;125.7854;91.7093;69.6449;59.1826;51.4495;53.5152;59.1826;62.8404;67.3455;82.4262;90.849;96.0598;98.7088;103.1881;106.8289;120.9299;121.8949;161.8879;2.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0
22850000;2;01/09/2009;;1;1;86.5964;50.7681;57.0309;24.0;18.0;2;2;2;;0;55.6136;53.5152;54.9105;53.5152;51.4495;53.5152;54.9105;56.3203;59.9071;59.9071;58.4617;60.6352;52.823;52.823;52.1344;52.1344;51.4495;50.7681;52.823;53.5152;54.2111;56.3203;62.8404;86.5964;65.0773;63.5826;63.5826;58.4617;54.9105;54.2111;;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;
22850000;2;01/08/2009;;1;1;65.8299;55.6136;59.6927;1.0;29.0;2;2;2;;0;65.8299;63.5826;62.8404;65.0773;62.1018;61.3667;60.6352;61.3667;60.6352;60.6352;60.6352;59.9071;59.9071;59.9071;59.1826;58.4617;58.4617;58.4617;58.4617;57.7443;57.7443;58.4617;58.4617;59.9071;59.9071;59.1826;57.0305;57.0305;55.6136;55.6136;56.3203;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
22850000;2;01/07/2009;;1;1;85.7558;64.3282;73.0488;1.0;31.0;2;2;2;;0;85.7558;83.2536;80.7814;79.964;83.2536;75.9273;76.7279;77.5319;79.15;72.7588;75.1301;75.9273;75.9273;72.7588;74.3363;71.9752;71.9752;67.3455;69.6449;69.6449;69.6449;70.4182;68.875;68.875;69.6449;68.1085;65.0773;68.1085;65.0773;66.586;64.3282;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0;2.0
