Length;Heigth
9719.440274;533.4334106
9748.479046;533.4334106
9777.517818;533.4334106
9818.584842;533.4334106
9859.651867;533.5
9888.690639;533.5
9929.757663;533.5
9970.824688;533.5
9999.86346;533.5
10040.93048;534
10081.99751;534
10123.06453;534
10152.10331;534
10181.14208;534
10210.18085;534
10239.21962;534.5
10280.28664;534.5
10321.35367;534.5
10350.39244;534.5
10379.43121;534.5
10408.46998;534.5
10437.50876;535
10478.57578;535
10507.61455;535
10536.65332;535
10565.6921;535
10594.73087;535.5
10623.76964;535.5
10652.80841;535.5
10681.84718;535.5
10710.88595;535.5
10751.95298;535.5
10780.99175;536
10810.03052;536
10839.06929;536
10880.13632;536
10909.17509;536
10938.21386;536
10967.25263;536
11008.31966;536.5
11037.35843;536.5
11066.3972;536.5
11107.46422;536.5
11136.503;536.5
11165.54177;537
11206.60879;537
11235.64756;537
11276.71459;537
11317.78161;537
11346.82039;537
11387.88741;537.5
11416.92618;537.5
11445.96495;537.5
11487.03198;537.5
11528.099;538
11557.13777;538
11586.17655;538
11627.24357;538
11668.31059;538
11709.37762;538.5
11750.44464;538.5
11791.51167;538.5
11832.57869;538.5
11861.61747;538.5
11902.68449;539
11943.75151;539
11984.81854;539
12025.88556;539
12066.95259;539
12108.01961;539.5
12137.05838;539.5
12166.09716;539.5
12195.13593;542.2044678
12236.20295;542.2044678
12277.26998;542.2044678
12318.337;542.2044678
12347.37577;542.2044678
12376.41455;542.2044678
12405.45332;542.2044678
12434.49209;542.2044678
12463.53086;542.2044678
12504.59788;542.2044678
12545.66491;542.2044678
12586.73193;542.2044678
12627.79896;542.2044678
12668.86598;542.2044678
12697.90475;542.2044678
12726.94353;542.2044678
12768.01055;542.2044678
12797.04932;542.2044678
12838.11635;542.2044678
12867.15512;542.2044678
12908.22214;542.2044678
12937.26092;542.2044678
12966.29969;542.2044678
13007.36671;542.2044678
13048.43374;542.2044678
13089.50076;542.2044678
13130.56779;542.2044678
13171.63481;542.5
13200.67358;542.5
13229.71235;542.5
13270.77938;542.5
13311.8464;542.5
13352.91343;542.5
13393.98045;543
13423.01922;543
13452.05799;543
13493.12502;543.5
13534.19204;544
13575.25907;544
13604.29784;544
13633.33661;544.5
13674.40364;544.5
13703.44241;545
13744.50943;545.5
13773.5482;545.5
13814.61523;546
13843.654;546
13884.72103;546.5
13913.7598;546.5
13954.82682;547
13983.86559;547.5
14024.93262;547.5
14053.97139;548
14095.03841;548
14124.07719;548
14153.11596;548.5
14182.15473;549
14223.22175;549
14252.26053;549.5
14281.2993;549.5
14310.33807;550
14339.37684;550
14368.41561;550.5
14397.45438;550.5
14426.49316;550.5
14467.56018;551
14496.59895;551
14525.63772;551.5
14554.67649;552
14583.71527;552
14612.75404;552.5
14653.82106;552.5
14682.85983;553
14711.89861;553
14740.93738;553.5
14769.97615;553.5
14799.01492;554
14828.05369;554
14857.09246;554
14898.15949;554.5
14927.19826;554.5
14968.26528;555
14997.30406;555
15026.34283;555.5
15055.3816;555.5
15084.42037;556
15113.45914;556
15142.49791;556
15183.56494;556.5
15212.60371;556.5
15253.67074;557
15282.70951;557
15323.77653;557.5
15352.8153;557.5
15381.85407;557.5
15410.89285;558
15451.95987;558
15493.0269;558.5
15534.09392;563.2164307
15563.13269;564.1224976
15604.19972;564.1224976
15633.23849;564.1224976
15674.30551;564.1224976
15715.37254;564.1224976
15744.41131;564.1224976
15773.45008;564.1224976
15802.48885;564.1224976
15843.55588;564.1224976
15884.6229;564.1224976
15925.68993;564.1224976
15966.75695;564.1224976
16007.82398;564.1224976
16048.891;564.1224976
16077.92977;564.1224976
16118.9968;564.1224976
16148.03557;564.1224976
16177.07434;564.1224976
16206.11311;564.1224976
16247.18014;564.1224976
16276.21891;564.1224976
16305.25768;564.1224976
16334.29645;564.5
16375.36348;564.5
16404.40225;565
16433.44102;565
16462.47979;565.5
16491.51856;565.5
16520.55733;565.5
16561.62436;566
16602.69138;566
16643.75841;566
16672.79718;566
16701.83595;568.6934204
16730.87472;570.5263672
16759.91349;570.5263672
16800.98052;570.5263672
16830.01929;570.5263672
16859.05806;571.1099854
